adc1, adc2, adc3, adc4, gx, gy, gz 
2016-04-02 16:12:00.689843,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.690073,236, 236, 9, 6, -57, 47, 0 
2016-04-02 16:12:00.690848,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.691084,236, 236, 9, 6, -57, 47, 0 
2016-04-02 16:12:00.691790,236, 236, 9, 6, -57, 47, 0 
2016-04-02 16:12:00.692020,236, 236, 9, 6, -57, 47, 0 
2016-04-02 16:12:00.692722,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.692952,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.693656,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.693885,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.694585,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.694814,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.695514,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.695745,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.696447,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.696679,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.697382,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.697610,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.698311,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.698541,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.699242,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.699472,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.700177,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.700409,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.701107,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.701337,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.702037,236, 236, 6, 6, -57, 47, 0 
2016-04-02 16:12:00.702266,236, 236, 6, 6, -57, 47, 0 
